t_s,v_volt
2.199760e-05,-0.080402
2.200000e-05,-0.080402
2.200240e-05,-0.080402
2.200480e-05,-0.080402
2.200720e-05,-0.080402
2.200960e-05,-0.080402
2.201200e-05,-0.080402
2.201440e-05,-0.080402
2.201680e-05,-0.080402
2.201920e-05,-0.080402
2.202160e-05,-0.080402
2.202400e-05,-0.080402
2.202640e-05,-0.080402
2.202880e-05,-0.080402
2.203120e-05,-0.080402
2.203360e-05,-0.080402
2.203600e-05,-0.080402
2.203840e-05,-0.080402
2.204080e-05,-0.080402
2.204320e-05,-0.080402
2.204560e-05,-0.080402
2.204800e-05,-0.080402
2.205040e-05,-0.080402
2.205280e-05,-0.080402
2.205520e-05,-0.080402
2.205760e-05,-0.080402
2.206000e-05,-0.080402
2.206240e-05,-0.080402
2.206480e-05,-0.080402
2.206720e-05,-0.080402
2.206960e-05,-0.080402
2.207200e-05,-0.080402
2.207440e-05,-0.080402
2.207680e-05,-0.080402
2.207920e-05,-0.080402
2.208160e-05,-0.080402
2.208400e-05,-0.080402
2.208640e-05,-0.080402
2.208880e-05,-0.080402
2.209120e-05,-0.080402
2.209360e-05,-0.080402
2.209600e-05,-0.080402
2.209840e-05,-0.080402
2.210080e-05,-0.080402
2.210320e-05,-0.080402
2.210560e-05,-0.080402
2.210800e-05,-0.080402
2.211040e-05,-0.080402
2.211280e-05,-0.080402
